# Department
# DeptID,DeptDesc,Include,FlexDownBy,ButNotBelow,FlexUpBy,ButNotAbove,ConstraintUnits,SpaceIncrement,
3301,Smoke Buster,1,-2,1,2,999,Section,3,
3302,Foot Needs,1,-2,1,2,999,Section,3,
3315,Elastics,1,-2,1,2,999,Section,3,
3325,Incontinence,1,-2,1,2,999,Section,3,
3330,Eye Ear,1,-2,1,2,999,Section,3,
3352,Pill Minder,1,-2,1,2,999,Section,3,
3353,Vitamins,1,-2,1,2,999,Section,3,
3364,Pediatrics,1,-2,1,2,999,Section,3,
3365,Convalescence,1,-2,1,2,999,Section,3,
3366,Antacid Laxative,1,-2,1,2,999,Section,3,
3367,Cough Cold,1,-2,1,2,999,Section,3,
3368,Diet Sports Nutrition,1,-2,1,2,999,Section,3,
3369,First Aid,1,-2,1,2,999,Section,3,
3370,Pain Sleep,1,-2,1,2,999,Section,3,
3381,Medical Nutrition,1,-2,1,2,999,Section,3,
6399,Wellness Vitamins,1,-2,1,2,999,Section,3,
