# Department/Fixture Compatibility,,,,,,,,,
# Department ID,Department Description,Mandatory Location,Forbidden Location(s)
3301,Smoke Buster,,,,,,,,
3302,Foot Needs,,1,5,7
3315,Elastics,,,,,,,,
3325,Incontinence,,9,,,,,,
3330,Eye Ear,,,,,,,,
3352,Pill Minder,,,,,,,,
3353,Vitamins,,,,,,,,
3364,Pediatrics,,,,,,,,
3365,Convalescence,,9,,,,,,
3366,Antacid Laxative,,,,,,,,
3367,Cough Cold,9,,,,,,,
3368,Diet Sports Nutrition,,,,,,,,
3369,First Aid,,,,,,,,
3370,Pain Sleep,,,,,,,,
3381,Medical Nutrition,,,,,,,,
6399,Wellness Vitamins,,,,,,,,
