#mixed height 66 and 72
#DepartmentID,Sales,Length,Height,Sales,Length
3301,3301,3,6600,768,3
3301,3301,6,6600,997,6
3301,3301,9,6600,1017,9
3301,3301,12,6600,1017,12
3301,3301,15,6600,1017,15
3301,3301,3,7200,809,3
3301,3301,6,7200,1006,6
3301,3301,9,7200,1017,9
3301,3301,12,7200,1017,12
3301,3301,15,7200,1017,15
3303,3303,3,6600,275,3
3303,3303,6,6600,472,6
3303,3303,9,6600,572,9
3303,3303,12,6600,608,12
3303,3303,15,6600,618,15
3303,3303,18,6600,619,18
3303,3303,21,6600,620,21
3303,3303,3,7200,297,3
3303,3303,6,7200,497,6
3303,3303,9,7200,586,9
3303,3303,12,7200,613,12
3303,3303,15,7200,619,15
3303,3303,18,7200,620,18
3303,3303,21,7200,620,21
3315,3315,3,6600,425,3
3315,3315,6,6600,651,6
3315,3315,9,6600,714,9
3315,3315,12,6600,724,12
3315,3315,15,6600,725,15
3315,3315,18,6600,725,18
3315,3315,3,7200,455,3
3315,3315,6,7200,671,6
3315,3315,9,7200,719,9
3315,3315,12,7200,725,12
3315,3315,15,7200,725,15
3315,3315,18,7200,725,18
3325,3325,12,6600,676,12
3325,3325,15,6600,770,15
3325,3325,18,6600,835,18
3325,3325,21,6600,875,21
3325,3325,24,6600,899,24
3325,3325,27,6600,912,27
3325,3325,30,6600,919,30
3325,3325,33,6600,922,33
3325,3325,36,6600,923,36
3325,3325,12,7200,714,12
3325,3325,15,7200,803,15
3325,3325,18,7200,859,18
3325,3325,21,7200,892,21
3325,3325,24,7200,909,24
3325,3325,27,7200,918,27
3325,3325,30,7200,922,30
3325,3325,33,7200,923,33
3325,3325,36,7200,924,36
3330,3330,3,6600,803,3
3330,3330,6,6600,1209,6
3330,3330,9,6600,1314,9
3330,3330,12,6600,1327,12
3330,3330,15,6600,1328,15
3330,3330,18,6600,1328,18
3330,3330,21,6600,1328,21
3330,3330,3,7200,858,3
3330,3330,6,7200,1243,6
3330,3330,9,7200,1321,9
3330,3330,12,7200,1328,12
3330,3330,15,7200,1328,15
3330,3330,18,7200,1328,18
3330,3330,21,7200,1328,21
3351,3351,3,6600,212,3
3351,3351,6,6600,419,6
3351,3351,9,6600,616,9
3351,3351,12,6600,799,12
3351,3351,15,6600,965,15
3351,3351,18,6600,1113,18
3351,3351,21,6600,1240,21
3351,3351,24,6600,1347,24
3351,3351,27,6600,1436,27
3351,3351,3,7200,231,3
3351,3351,6,7200,456,6
3351,3351,9,7200,667,9
3351,3351,12,7200,862,12
3351,3351,15,7200,1035,15
3351,3351,18,7200,1185,18
3351,3351,21,7200,1311,21
3351,3351,24,7200,1413,24
3351,3351,27,7200,1495,27
3352,3352,3,6600,205,3
3352,3352,6,6600,205,6
3352,3352,9,6600,205,9
3352,3352,12,6600,205,12
3352,3352,15,6600,205,15
3352,3352,3,7200,205,3
3352,3352,6,7200,205,6
3352,3352,9,7200,205,9
3352,3352,12,7200,205,12
3352,3352,15,7200,205,15
3353,3353,18,6600,2618,18
3353,3353,21,6600,2904,21
3353,3353,24,6600,3140,24
3353,3353,27,6600,3330,27
3353,3353,30,6600,3479,30
3353,3353,33,6600,3593,33
3353,3353,36,6600,3677,36
3353,3353,39,6600,3737,39
3353,3353,42,6600,3780,42
3353,3353,18,7200,2780,18
3353,3353,21,7200,3060,21
3353,3353,24,7200,3283,24
3353,3353,27,7200,3455,27
3353,3353,30,7200,3584,30
3353,3353,33,7200,3677,33
3353,3353,36,7200,3742,36
